***
*** Starting ...
***
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x64 threads, 1024B shared memory, 50 iterations
Copy register->shared, size=      1024, gDim=    1, bDim=   64, bw=  0.18GB/s
***
*** Starting ...
***
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x128 threads, 1024B shared memory, 50 iterations
Copy register->shared, size=      1024, gDim=    1, bDim=  128, bw=  0.19GB/s
***
*** Starting ...
***
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
Starting kernel: 1x256 threads, 1024B shared memory, 50 iterations
